1001;other;89;409
1002;cat;29;346
1003;other;8;177
1004;beagle;60;400
1005;other;71;304
1006;border;31;391
1007;shiba;33;241
1008;cat;26;482
1009;other;24;468
1010;cat;39;71
1011;other;9;106
1012;cat;60;260
1013;shiba;42;484
1014;cocker;66;88
1015;cocker;57;267
1016;shiba;4;354
1017;cat;28;240
1018;shiba;7;145
1019;cat;28;52
1020;cocker;68;261
1021;other;82;381
1022;cocker;56;370
1023;beagle;27;222
1024;other;3;181
1025;other;45;299
1026;cat;13;100
1027;other;79;388
1028;other;31;111
1029;cat;26;308
1030;beagle;76;488
1031;border;88;423
1032;other;21;276
1033;cat;33;338
1034;other;5;427
1035;cat;46;209
1036;cat;27;445
1037;other;32;101
1038;other;88;457
1039;other;24;129
1040;other;25;143
1041;other;13;228
1042;other;94;147
1043;cat;44;391
1044;other;61;139
1045;border;38;376
1046;beagle;94;55
1047;cat;97;424
1048;other;77;461
1049;cat;93;410
1050;other;87;426
1051;other;63;390
1052;other;44;166
1053;border;40;451
1054;cat;35;248
1055;other;30;449
1056;other;31;76
1057;other;46;283
1058;border;20;62
1059;other;38;111
1060;shiba;39;378
1061;other;9;256
1062;other;34;421
1063;cat;37;309
1064;cocker;16;336
1065;other;72;371
1066;other;40;223
1067;border;97;352
1068;other;73;300
1069;border;85;52
1070;other;78;210
1071;cat;39;406
1072;other;57;165
1073;beagle;43;454
1074;cat;5;113
1075;other;19;271
1076;other;63;348
1077;other;49;195
1078;cat;38;81
1079;border;45;296
1080;other;44;440
1081;other;23;58
1082;cat;93;255
1083;other;24;111
1084;other;82;207
1085;other;49;496
1086;other;69;458
1087;border;87;271
1088;other;93;195
1089;other;47;326
1090;other;67;360
1091;other;62;411
1092;border;65;309
1093;beagle;53;211
1094;shiba;67;143
1095;cat;18;411
1096;border;55;145
1097;other;69;354
1098;other;57;496
1099;border;89;85
1100;cat;22;158
1101;cat;71;197
1102;cocker;68;316
1103;cat;11;399
1104;cat;83;86
1105;other;1;430
1106;cat;48;318
1107;other;24;175
1108;other;99;229
1109;other;8;142
1110;border;88;119
1111;other;73;244
1112;cat;22;471
1113;other;89;319
1114;other;48;329
1115;cat;28;185
1116;cat;79;204
1117;shiba;40;203
1118;cocker;31;379
1119;beagle;4;248
1120;other;60;58
1121;cocker;29;313
1122;other;39;107
1123;shiba;20;491
1124;cat;30;312
1125;beagle;34;346
1126;cat;60;342
1127;border;26;222
1128;beagle;59;65
1129;border;89;100
1130;other;41;61
1131;border;78;65
1132;border;65;372
1133;cat;16;122
1134;other;44;449
1135;cat;34;266
1136;cat;66;298
1137;border;17;109
1138;cocker;94;341
1139;cat;0;361
1140;cat;66;331
1141;other;61;439
1142;other;56;139
1143;cat;11;210
1144;other;50;61
1145;border;2;289
1146;cat;91;215
1147;other;82;213
1148;shiba;32;304
1149;cat;76;287
1150;other;90;414
1151;shiba;72;184
1152;beagle;85;346
1153;cocker;78;397
1154;cocker;57;463
1155;beagle;91;136
1156;other;30;59
1157;beagle;96;60
1158;shiba;46;445
1159;border;21;139
1160;other;30;162
1161;border;86;209
1162;other;88;185
1163;beagle;93;123
1164;border;16;323
1165;other;65;214
1166;cat;36;59
1167;other;99;173
1168;cat;1;200
1169;cat;78;293
1170;other;50;466
1171;cocker;57;249
1172;cat;20;314
1173;cat;10;264
1174;border;1;291
1175;beagle;61;263
1176;cocker;98;369
1177;other;22;293
1178;other;93;315
1179;cat;1;76
1180;border;54;200
1181;cat;5;110
1182;cocker;45;327
1183;other;89;109
1184;other;35;197
1185;other;95;498
1186;beagle;51;301
1187;cat;56;168
1188;cat;57;476
1189;other;16;441
1190;cocker;1;319
1191;other;100;420
1192;cat;68;121
1193;cat;15;64
1194;other;16;188
1195;border;76;238
1196;border;34;115
1197;beagle;9;492
1198;other;78;159
1199;cocker;29;284
1200;other;69;343
1201;other;38;334
1202;other;45;61
1203;cat;19;325
1204;shiba;29;196
1205;cat;76;106
